NODE_ID,BRANCH_ID,DEPENDENCY_DEPTH,UPSTREAM_REQUIREMENTS,DOWNSTREAM_IMPACT,LITERATURE_SUPPORT,IMPLEMENTATION_DIFFICULTY,VALIDATION_REQUIREMENT,PRIORITY
VARIATIONAL-NODE,Variational,2,SPECTRUM-NODE (OPEN),9,PARTIAL,HIGH (requires constructing an action functional with no literature-supplied bridge from SPECTRUM-NODE),dimensional consistency; stationarity check delta S=0; limiting-case comparison to a known free-field theory,1
GEOMETRY-NODE,Geometry,2,SPECTRUM-NODE (OPEN),2,NONE-IN-CORPUS,"HIGH, and blocked pending a differential-geometry reference source not yet ingested",metric signature consistency; Bianchi identity; Newtonian limit,2
NOETHER-SYMMETRY,Symmetry,3,VARIATIONAL-NODE (OPEN),1,PARTIAL (Lorentz/Poincare structure EXACT; Noether-theorem derivation itself not observed in delivered pages),MEDIUM once VARIATIONAL-NODE closes,current conservation d_mu J^mu=0 as a direct consequence check,3
QUANTUM-NODE,Quantum,3,VARIATIONAL-NODE (OPEN),4,ANALOGOUS (Weyl/Dirac spinor representations),HIGH (canonical quantization map not supplied by literature),"[x,p] canonical commutation check; classical limit hbar->0",4
CONSERVATION-LAW,Conservation,4,NOETHER-SYMMETRY (not registered),0,PARTIAL,LOW once NOETHER-SYMMETRY exists (direct corollary),direct numerical/symbolic check that d_mu J^mu=0 for the constructed current,5
GAUGE-NODE,Gauge/Standard Model,4,QUANTUM-NODE (OPEN),3,PARTIAL/EXACT (strongest literature support of any zero-backend branch: Tong Yang-Mills structure + Ellis et al SSB/Higgs mechanism),"HIGH, blocked on Quantum",gauge invariance check; mass-term dimensional consistency; Abelian-limit reduction,6
EINSTEIN-FIELD-EQUATION,GR,3,"GEOMETRY-NODE (OPEN), MATTER-NODE (OPEN)",1,NONE-IN-CORPUS,"HIGH, blocked on Geometry and Matter",Bianchi identity nabla^mu G_munu=0; Newtonian limit; conservation nabla^mu T_munu=0,7
MATTER-NODE,Matter,5,GAUGE-NODE (OPEN),2,NONE-DIRECT (Ellis et al discusses matter-Higgs coupling qualitatively only),"HIGH, blocked on Gauge",Yukawa-coupling dimensional consistency,8
THERMODYNAMICS-NODE,Thermodynamic,6,MATTER-NODE (OPEN),1,NONE-IN-CORPUS,"HIGH, and blocked pending a thermodynamics reference source not yet ingested",second-law inequality check (Clausius-Duhem); kappa>=0 positivity,9
INTERFACE-I (Quantum/Gravity),Quantum/Gravity,blocked (requires both Quantum and GR chains),"QUANTUM-NODE (OPEN), GEOMETRY-NODE (OPEN), T2-NCG-BRIDGE (OPEN)",0,NONE,"VERY HIGH (open research problem, not merely an implementation gap)",n/a -- no admissible bridge equation to validate yet,10
COSMOLOGY-NODE (Early-universe),Early-universe/Cosmology,7,THERMODYNAMICS-NODE (OPEN),1,NONE-DIRECT (Ellis et al mentions inflation/vacuum-stability tangentially),"HIGH, blocked on Thermodynamics; a cosmology reference source is also needed",Friedmann-equation consistency; radiation/matter/Lambda-domination limiting cases,11
COSMOLOGY-NODE (Late-universe),Late-universe/Cosmology,7,THERMODYNAMICS-NODE (OPEN),0,NONE,"HIGH, blocked on Thermodynamics",dark-energy equation-of-state limiting behavior (w->-1 for Lambda),12
OBSERVABLES-NODE,Observables (terminal),8,COSMOLOGY-NODE (OPEN),0,NONE,depends entirely on everything above closing first,"n/a -- terminal node, nothing to validate until upstream closes",13
FOUNDATION,Primitive,0,"SELECTION-SIGMA (OPEN, explicitly unconstructable -- 'no non-arbitrary, unique, representation-invariant derivation of Sigma is registered in this build')",entire template chain,NO,OUT OF SCOPE,n/a,"N/A -- NOT RANKED (out of scope, would require inventing new physics/ontology)"
EMPTYSET,Primitive,1,"SELECTION-SIGMA (OPEN, explicitly unconstructable -- 'no non-arbitrary, unique, representation-invariant derivation of Sigma is registered in this build')",entire template chain,NO,OUT OF SCOPE,n/a,"N/A -- NOT RANKED (out of scope, would require inventing new physics/ontology)"
MATH-UNIVERSE,Primitive,2,"SELECTION-SIGMA (OPEN, explicitly unconstructable -- 'no non-arbitrary, unique, representation-invariant derivation of Sigma is registered in this build')",entire template chain,NO,OUT OF SCOPE,n/a,"N/A -- NOT RANKED (out of scope, would require inventing new physics/ontology)"
PHYSICAL-CANDIDATE-SET,Primitive,3,"SELECTION-SIGMA (OPEN, explicitly unconstructable -- 'no non-arbitrary, unique, representation-invariant derivation of Sigma is registered in this build')",entire template chain,NO,OUT OF SCOPE,n/a,"N/A -- NOT RANKED (out of scope, would require inventing new physics/ontology)"
VACUUM,Primitive,4,"SELECTION-SIGMA (OPEN, explicitly unconstructable -- 'no non-arbitrary, unique, representation-invariant derivation of Sigma is registered in this build')",entire template chain,NO,OUT OF SCOPE,n/a,"N/A -- NOT RANKED (out of scope, would require inventing new physics/ontology)"
DISTINCTION,Primitive,5,"SELECTION-SIGMA (OPEN, explicitly unconstructable -- 'no non-arbitrary, unique, representation-invariant derivation of Sigma is registered in this build')",entire template chain,NO,OUT OF SCOPE,n/a,"N/A -- NOT RANKED (out of scope, would require inventing new physics/ontology)"
RELATION,Primitive,6,"SELECTION-SIGMA (OPEN, explicitly unconstructable -- 'no non-arbitrary, unique, representation-invariant derivation of Sigma is registered in this build')",entire template chain,NO,OUT OF SCOPE,n/a,"N/A -- NOT RANKED (out of scope, would require inventing new physics/ontology)"
TRANSFORMATION-NODE,Primitive,7,"SELECTION-SIGMA (OPEN, explicitly unconstructable -- 'no non-arbitrary, unique, representation-invariant derivation of Sigma is registered in this build')",entire template chain,NO,OUT OF SCOPE,n/a,"N/A -- NOT RANKED (out of scope, would require inventing new physics/ontology)"
CONSTRAINT,Primitive,8,"SELECTION-SIGMA (OPEN, explicitly unconstructable -- 'no non-arbitrary, unique, representation-invariant derivation of Sigma is registered in this build')",entire template chain,NO,OUT OF SCOPE,n/a,"N/A -- NOT RANKED (out of scope, would require inventing new physics/ontology)"
PERSISTENCE-NODE,Primitive,9,"SELECTION-SIGMA (OPEN, explicitly unconstructable -- 'no non-arbitrary, unique, representation-invariant derivation of Sigma is registered in this build')",entire template chain,NO,OUT OF SCOPE,n/a,"N/A -- NOT RANKED (out of scope, would require inventing new physics/ontology)"
OPERATOR-NODE,Primitive,10,"SELECTION-SIGMA (OPEN, explicitly unconstructable -- 'no non-arbitrary, unique, representation-invariant derivation of Sigma is registered in this build')",entire template chain,NO,OUT OF SCOPE,n/a,"N/A -- NOT RANKED (out of scope, would require inventing new physics/ontology)"
SPECTRUM-NODE,Primitive,11,"SELECTION-SIGMA (OPEN, explicitly unconstructable -- 'no non-arbitrary, unique, representation-invariant derivation of Sigma is registered in this build')",entire template chain,NO,OUT OF SCOPE,n/a,"N/A -- NOT RANKED (out of scope, would require inventing new physics/ontology)"
