component,counterfactual_result,repository_support,established_physics_support,new_assumption_required,actual_derivation_exists,status
"Graph Laplacian L=D-W, eigendecomposition",Foundational object of the entire master equation (Sec. 2),"YES -- compiler/backends/graph_laplacian.py, VERIFIED, executed and tested",YES -- standard spectral graph theory (Chung 1997),NO,YES (in this project's real code),"REAL, already canonical prior to any campaign"
Spectral square root D+=sqrt(L),"Used as the 'Dirac-type operator' feeding the master equation (Sec. 2, Lemma 1)",PARTIAL -- Master Equation Codex names this 'the Dirac operator' with no justification,YES -- functional square root of a PSD operator is standard linear algebra,YES -- that this is a physically meaningful Dirac-type operator (Clifford/spinor structure not shown),PARTIAL (the square root itself: yes; its physical interpretation: no),Mathematically real; physical naming is a creative extrapolation
Persistence Selection Principle (Counterfactual Axiom 1),"Closes SELECTION-SIGMA, makes GRAPH-G-SEED a derived rather than postulated object (Sec. 2)",WEAK -- inspired by Master Equation Codex's own unproven A*=argmax(Pi/S) assertion,NO,"YES -- existence and uniqueness of the argmax is asserted, not proved",NO,FICTIONAL -- the single largest invented axiom in the manuscript
"Spectral triple admissibility of (D+,L) (Counterfactual Axiom 2)",Licenses applying the real spectral action to this project's graph Laplacian (Sec. 3),NO,the AXIOMS THEMSELVES are real and well-defined (Connes),"YES -- that (D+,L) satisfies them is asserted, not checked",NO,FICTIONAL -- a real mathematical bar that was never actually cleared or even tested
"Chamseddine-Connes spectral action S[D]=Tr f(D/Lambda)+<psi,Dpsi>",Selected as the master equation (Sec. 4),"YES -- already registered as NCG-BRIDGE-EXTERNAL-REFERENCE, quoted correctly in DTC-RP-004","YES -- real, published, peer-reviewed physics (Chamseddine-Connes 1996/2006)",NO (the equation itself); YES (that it applies to this project's D+),YES for the real theory's own conventional spin-manifold application; NO for this project's graph-native substitution,"REAL equation, FICTIONAL application"
"Seeley-DeWitt heat-kernel expansion (a0,a2,a4 coefficients)","Generates cosmological-constant, Einstein-Hilbert, and Yang-Mills/Higgs terms (Sec. 5)","referenced only in the NCG literature-summary PDFs, not independently computed anywhere in this project","YES -- standard, well-established asymptotic expansion technique","YES -- that a2 for THIS project's operator equals a genuine 4D Riemannian scalar curvature, which requires the (unachieved) FC-005 continuum limit",NO (never computed for this project's own operator),"REAL technique, FICTIONAL that it applies here"
Heat-trace / Euclidean partition-function identity Z(beta)=Tr e^(-beta D+^2),"Basis of the Quantum and Thermodynamic Sectors (Sec. 6, 10, Lemma 2)",the heat-trace side is real and executed (compiler/backends/heat_flow.py),"YES -- standard, exact mathematical identity in Euclidean QFT/stat mech",NO for the identity itself; YES for treating D+^2 as THE physical Hamiltonian of the universe,YES for the identity; NO for the physical claim built on it,"REAL identity, FICTIONAL physical scope"
'Quantum mechanics is the continuum limit of the graph spectrum' (used implicitly in Sec. 6),"Assumed to hold generally, enabling full QM/QFT recovery",explicitly CONTRADICTED -- this project's own real FC-005 execution found convergence for only 4 of 15 tested modes,NO,"YES -- directly overrides a real, already-collected negative finding",NO -- actively falsified in the real Master TOE Derivation Campaign,"FICTIONAL, and known to conflict with real project evidence"
Einstein field equations Gmunu+Lambda gmunu=(8piG/c^4)Tmunu,Recovered exactly in form as the Gravity Sector (Sec. 7),"the equation itself appears throughout the repository (restated, never derived)","YES -- real, established General Relativity (Einstein 1915/1917)","NO for the equation; YES for the claim that it follows from the master equation, which requires the unproven a2<->R identification (see above)","NO new derivation; the equation is restated, not derived, even within the fiction","REAL equation, FICTIONAL derivation chain"
G2=Aut(octonions) and G2's maximal subgroup SU(3),Building block of the Gauge Sector's group-theory argument (Sec. 8),referenced (unconstructed) in DTC COMPILER.docx and SEIT v2,"YES -- genuine, correct, well-known facts in Lie theory",NO (these two facts are simply true),"YES (as pure group theory, independent of any physics application)","REAL mathematics, correctly used as an ingredient"
Spin(8) triality (outer automorphism group S3),Second building block of the Gauge Sector's group-theory argument (Sec. 8),referenced (unconstructed) in DTC COMPILER.docx,"YES -- genuine, correct, well-known fact in Lie theory",NO,YES (as pure group theory),"REAL mathematics, correctly used as an ingredient"
G2/Spin(8) intersection = SU(3)xSU(2)xU(1),Central claim of the Gauge Sector: this intersection IS the Standard Model gauge group (Sec. 8),NO -- this specific intersection is never constructed anywhere in the repository (per compiler/historical/register.py's own audit and this campaign's independent re-confirmation),"an octonion/Spin(8) route to the Standard Model is a real, serious research direction (Furey, Dixon) but this exact construction is not reproduced from that literature","YES -- the central, load-bearing, entirely invented step of the entire Gauge Sector",NO,"FICTIONAL -- the weakest link in the Gauge Sector, explicitly flagged as such in the manuscript itself"
SU(3)xSU(2)xU(1) as the real Standard Model gauge group,Preserved throughout as the target the fiction claims to reach,preserved per this campaign's own and the prior campaign's explicit governing instruction,"YES -- real, independently confirmed 20th-century physics, unrelated to anything in this repository",NO,"YES (real, external, not from this project)","REAL and ESTABLISHED, but NOT a consequence of this manuscript or this repository"
