BRANCH,RELEVANT_DERIVATION_PRESENT,REPRODUCES_MDCL_RESULT,INDEPENDENT_DERIVATION_OF_EXISTING,IDENTIFIES_MISSING_DEPENDENCY,PROVIDES_IMPLEMENTATION_TARGET,PROVIDES_VALIDATION_TARGET,INTRODUCES_ASSUMPTIONS_ABSENT_FROM_CANON
A. Variational structure,"YES -- full Polyakov/Nambu-Goto action->EOM chain, twice cross-source confirmed",NO -- VARIATIONAL-NODE has no existing result to reproduce,NO (nothing exists yet),"YES -- confirms the missing piece is specifically 'a field content + Lagrangian density,' not the variational machinery itself, which is standard and now has 2 worked examples",YES -- see PROPOSED_STRING_VARIATIONAL_RECOVERY.md,"YES -- dimensional consistency, EOM reduction checks demonstrated in-source","YES -- string-specific fields (X^mu embedding coordinates, alpha', worldsheet metric g_ab) are not canonical UOC objects and must not be imported"
B. Euler-Lagrange equations,"YES -- (1.21)/(1.23) Nambu-Goto/Polyakov EOM, (3.2.15)/(3.2.34) Kiritsis parallel",NO,NO,"YES -- same as A, EL equations are the direct corollary once an action exists",YES (subsumed under A),YES (subsumed under A),YES (same as A)
C. Symmetry,YES -- ST-010/ST-020 (Poincare/reparam/Weyl) + ST-022 (explicit Noether construction),NO -- NOETHER-SYMMETRY has no existing result,NO,"YES -- confirms NOETHER-SYMMETRY is blocked purely on VARIATIONAL-NODE, not on any missing mathematical machinery (the Noether procedure itself is fully demonstrated)",YES -- ST-022's derivation is directly reusable as a template once a UOC Lagrangian exists,YES -- explicit conservation-law verification method (integrate d_alpha T^alpha_beta and show boundary terms vanish) demonstrated,YES -- Poincare symmetry specifically; a UOC symmetry group would need independent justification
D. Conservation,YES -- ST-022 (direct corollary of C),NO,NO,YES -- same as C,YES (subsumed under C),YES (subsumed under C),YES (same as C)
E. General relativity,"PARTIAL -- Tong's Introduction (p.3-8) states the Einstein-Hilbert action and non-renormalizability arguments, but does NOT derive General Relativity from string theory in the pages read (that would be Ch.7, not read)",NO,"NO -- the Einstein-Hilbert action is stated as known background, not derived","PARTIAL -- confirms Geometry/GR need a genuinely different reference (differential geometry text, or the unread string-theory low-energy-effective-action chapters)",NO,NO,N/A -- nothing usable extracted
F. Quantum mechanics,"PARTIAL -- ST-003 (point-particle Klein-Gordon quantization) and ST-024 (classical Poisson-bracket algebra, the direct precursor to canonical quantization) present; full string canonical quantization (Tong Ch.2/Kiritsis Ch.4) NOT read",NO,NO,PARTIAL,PARTIAL -- ST-003's simple point-particle canonical-quantization example (p_mu -> -i d/dX^mu) is a usable minimal template,PARTIAL,YES
G. Quantum field theory,NO -- not read this phase (QFT machinery beyond the single Klein-Gordon example is not covered by the pages extracted),NO,NO,UNDETERMINED,NO,NO,N/A
H. Gauge theory,NO -- Yang-Mills-from-strings content (Tong 7.7) not read this phase; only a single passing Introduction sentence exists in the extracted pages,NO,NO,UNDETERMINED,NO,NO,N/A
I. Thermodynamics,NO -- not located anywhere in the pages read or in the visible TOC section titles,NO,NO,NO -- this corpus (as read) offers nothing for Thermodynamics,NO,NO,N/A
J. Statistical mechanics,"NO -- partition-function/statistical-ensemble content (Tong Ch.6.4, one-loop partition function) not read this phase",NO,NO,UNDETERMINED,NO,NO,N/A
K. Cosmology,"NO -- only a single passing Introduction mention of the cosmological constant as a 'string-theory environmental quantity' (Tong p.7), no derivation",NO,NO,NO,NO,NO,N/A
L. Quantum gravity,"PARTIAL -- Tong's full section 0.1 (p.1-8) is a substantial PROSE discussion of why quantum gravity is hard and what string theory claims to offer, but contains no equation-level bridge between quantum mechanics and gravity in the pages read",NO,NO,"PARTIAL -- confirms this campaign's own prior assessment that the Quantum/Gravity interface is closer to an open research problem than an implementation gap, from an independent source",NO,NO,N/A
M. Spectral operators,"YES -- ST-025 classical Virasoro algebra, ST-013/ST-023 mode expansions",NO -- structurally unrelated to the existing graph-Laplacian spectral branch (see STRING_SPECTRAL_CROSSWALK.csv),NO,NO -- the existing Spectral branch is already fully closed and needs nothing from this corpus,"NO -- not applicable, different mathematical object",NO,N/A -- no recovery attempted here
N. Geometry,"PARTIAL -- ST-011 (2D worldsheet Weyl-to-flat, 2D Riemann decomposition) is a genuine, source-derived 2D differential-geometry fact, but explicitly NOT target-spacetime geometry",NO,NO,"PARTIAL -- confirms that even where this corpus DOES contain real differential geometry, it is 2D worldsheet geometry, not the 4D spacetime geometry GEOMETRY-NODE actually needs -- a negative but useful finding, not a false positive",NO -- wrong dimensionality/target for GEOMETRY-NODE's actual requirement,NO,N/A
O. Effective field theory,NO -- Tong Ch.7 'Low Energy Effective Actions' not read this phase; only referenced by TOC and by the non-string-derived background discussion in the Introduction,NO,NO,UNDETERMINED,NO,NO,N/A
