source_id,filename,source_class,branch,section,equation_identifier,equation_text,variables,assumptions,dependencies,claimed_result,current_status,canonical_match,external_match,executable,verification_status,falsification_status,promotion_candidate
MEC-0,Master Equation Codex.pdf,B (grandiose-synthesis),Primitive/Spectral,0-1,0.1-1.4,U={Delta_i}; A=(A_ij); D=diag(d_i); L=D-A; L psi_n=lambda_n psi_n; J_L^2=L (Dirac-op-as-sqrt(L)),"N distinctions, adjacency A, degree D, Laplacian L, eigenpairs (lambda_n,psi_n)",A universal distinction graph is the sole primitive input; not independently justified,none (postulated root),graph->Laplacian->spectrum cascade as the foundation of all physics,"PARTIALLY EXECUTED (in this project's own code, not by this document)","GRAPH-G-SEED->OPERATOR-L->SPECTRUM-L (Test1 pipeline, VERIFIED)","standard spectral graph theory (Chung, 1997)","YES (already implemented, compiler/backends/graph_laplacian.py)","Sections 0-1's mathematical content (L=D-A, eigenproblem) is standard, correct spectral graph theory and IS already independently reconstructed and executed in this project's Test1 pipeline -- but that reconstruction is prior work, not new work this campaign attributes to this document. Calling the square-root L^(1/2) a 'Dirac operator' (eq 1.3) is an unsubstantiated physics-interpretation claim: a positive operator's functional square root is standard math, but nothing shown establishes Clifford-algebra/spinor structure to justify the physical name.","not falsified (the graph/Laplacian/spectrum content is mathematically sound); the 'Dirac operator' naming is unsupported, not falsified",NO new promotion -- already covered by existing canonical Test1 nodes
MEC-3,Master Equation Codex.pdf,B (grandiose-synthesis),Geometry,3,3.1-3.6,"d(i,j)=[sum_{n in Pi}|psi_n(i)-psi_n(j)|^2]^(1/2); g_ij=lim_{x'->x} d^2 d/dx^i dx'^j; Gamma,R,G_munu standard GR formulas","diffusion distance d(i,j), metric g_ij, Christoffel Gamma, Riemann R, Einstein G_munu","a smooth embedding x(i) of graph nodes into continuous coordinates already exists, prior to differentiating d(i,j) w.r.t. x",MEC-0 spectral cascade,spacetime metric and curvature emerge purely from graph spectral distance,MATHEMATICALLY ILL-POSED AS WRITTEN,"METRIC-CANDIDATE (Test2 pipeline, CONDITIONAL -- exactly for this reason)",diffusion-map / Laplacian-eigenmap literature (Coifman-Lafon 2006),NO,"Eq 3.2 differentiates a discrete node-pairwise distance d(i,j) with respect to continuous coordinates x^i that are never defined -- this presupposes the very embedding this project's own Test2 pipeline found to be non-unique (METRIC-CANDIDATE, CONDITIONAL). The document does not acknowledge or resolve this; it is stated as a completed step.","the specific written equation is not well-formed (undefined x^i), which this campaign treats as a failed reconstruction attempt, not a proof of falsity of the general idea",NO
MEC-5,Master Equation Codex.pdf,B (grandiose-synthesis),Gauge/Standard Model,5,5.3,G = Aut(O) x Spin(8) superset SU(3)_C x SU(2)_L x U(1)_Y,"octonion automorphism group Aut(O), Spin(8), gauge group G",'the automorphism structure of the eigenspace's Clifford-octonionic scaffolding' selects this specific group -- no construction of that scaffolding from MEC-0/1's actual graph/Laplacian objects is shown,"MEC-0/1 spectral cascade (claimed, not constructed)",Standard Model gauge group emergent from spectral eigenspace automorphisms,"BARE ASSERTION, NO DERIVATION FOUND","T2-HISTORICAL (PROPOSED, already registered in compiler/historical/register.py with identical finding)","octonion/Spin(8) route to the Standard Model is a real research direction in the literature (e.g. Furey, Dixon) but this document does not reproduce or cite that literature's actual construction",NO,"Corpus-wide search (this project's own compiler/historical/register.py, independently re-confirmed by grep this campaign) found no executable derivation, proof object, or numerical artifact anywhere in the repository backing this claim. This is a restatement of the DTC COMPILER.docx section 4 claim already registered as T2-HISTORICAL.",not falsified (never derived to a testable form),NO
MEC-6,Master Equation Codex.pdf,B (grandiose-synthesis),Quantum,6,6.1-6.4,i hbar dPsi/dt = H Psi (asserted continuum limit of L psi_n=lambda_n psi_n),"Schrodinger wavefunction Psi, Hamiltonian H",the discrete graph eigenproblem has a well-defined continuum limit reproducing the Schrodinger equation,MEC-0/1,quantum mechanics is the continuum limit of the graph spectral problem,"ASSERTED, CONTRADICTED BY THIS PROJECT'S OWN FC-005 RESULT","CONTINUUM-LIMIT-L-DESI (FAIL/RETRIABLE, frozen)",n/a,NO (as a general claim),"This project's own rigorously executed FC-005 investigation (real DESI data, sparse N-scaling to N=64,000) found genuine discrete-to-continuum convergence for only the lowest ~4 of 15 tested modes even in the best case, and explicit non-convergence for the rest -- the opposite of a general, clean continuum limit. The document's one-line assertion 'Eq 6.2 is the continuum limit of Eq 1.2' does not hold as a general, unconditional statement given this project's own empirical finding.",CONTRADICTED by this project's own FC-005 execution for the general/unconditional form of the claim,NO
MEC-7,Master Equation Codex.pdf,B (grandiose-synthesis),Thermodynamic,7,7.1-7.4,R=e^{-beta L} <-> Boltzmann weight e^{-beta E},"recursion parameter beta, energy E",the graph heat-kernel parameter beta is physically identifiable with inverse temperature,MEC-0/1/2,thermodynamics is the macroscopic face of spectral diffusion dynamics,"LOOSE ANALOGY, NOT DERIVED",THERMODYNAMICS-NODE (OPEN),heat-kernel/partition-function analogy is standard in spectral graph theory but the physical-temperature identification is not derived here,NO,The document itself uses the word 'mirrors' rather than 'derives' for this correspondence -- an honest hedge the campaign preserves; no equation connects the graph's own beta to any independently measurable physical temperature.,not falsified (not asserted strongly enough to test),NO
DTC-FS-1,DTC_Formal_Structure.docx,"B-rigorous (self-critical, checkable)",Symmetry,II,Constraint Necessity Theorem,"A freely generated category D (every morphism, including identifying/collapsing ones, admissible) has no non-trivial invariant distinguishing any two objects","category D, subcategory C, objects A,B",D contains at least 2 non-isomorphic objects; 'freely generated' means literally every conceivable morphism (including collapsing ones) is admissible,none (self-contained category-theory result),persistent distinguishable structure requires non-trivial constraint,"PROVED (genuine, checkable, narrow theorem)",none in current MDCL,"essentially a restatement of the definition of a freely-generated category having no non-trivial functorial invariants -- a correct, if modest, category-theory fact",not applicable (pure abstract-algebra statement),"Independently re-derived by inspection this campaign: the proof is a direct, valid consequence of the definitions given (a category with every morphism, including arbitrary identifications, available has by construction no property preserved by all morphisms). This is the single cleanest genuinely-proved result located anywhere in the historical corpus.","SURVIVES -- correct as stated, though narrower than the document's own predecessor (Document 3) had informally claimed, which the document itself flags","CANDIDATE for registration as an external-mathematics reference (category theory), not as UOC-original physics"
DTC-FS-2,DTC_Formal_Structure.docx,"B-rigorous (self-critical, checkable)",Symmetry/Conservation,III,Generalized Noether Conjecture (GNC),"conjectured: for any (D,T,C) system, a retained quantity R exists as a consequence of C alone","constraint subcategory C, retained quantity R","would require C to carry continuous/variational structure analogous to a Lagrangian symmetry group, which is not guaranteed for an arbitrary C",DTC-FS-1,ordinary Noether's theorem is recovered EXACTLY as the special case where C carries a continuous Lie symmetry and a variational structure; the general conjecture (C->R for ANY constraint structure) is explicitly NOT proved,"OPEN (explicitly, honestly, by the document's own author)",NOETHER-SYMMETRY / CONSERVATION-LAW (not registered),"Noether's theorem itself is, of course, established physics/mathematics -- correctly and exactly recovered, with no distortion, per the document's own careful statement",not applicable,"Independently confirmed this campaign: the document correctly identifies that Noether's proof requires a continuous Lie symmetry and a variational (Lagrangian) structure, neither of which a generic constraint subcategory C is guaranteed to carry -- so the promised generalization beyond ordinary physics does not go through, and the document says so explicitly rather than papering over it.","the GENERAL conjecture remains an open, unproved conjecture (honestly labeled as such); the CONSERVATIVE special case is simply ordinary Noether's theorem, not new content",NO new promotion (Noether's theorem is already established external physics; the generalization attempt did not succeed)
DTC-FS-3,DTC_Formal_Structure.docx,"B-rigorous (self-critical, checkable)",Primitive,IV,Option A / Option B (self-reference),n/a (no equation; a question about whether investigator and investigated share necessary categorical structure),n/a,"would require an independently-specified (D,T,C) decomposition of cognition itself, not smuggled in from the conclusion it would support",DTC-FS-1/2,whether the framework's applicability to physics and to inquiry itself is a necessary identity or a contingent coincidence,"EXPLICITLY UNRESOLVED, EXPLICITLY FLAGGED AS CIRCULAR IF ATTEMPTED NAIVELY",SELECTION-SIGMA (OPEN -- structurally the same 'cannot independently pin down the selector' obstruction),"n/a (self-referential/philosophy-of-mind question, not a physics claim)",not applicable,"The document's own diagnosis -- 'a derivation from C to R cannot be carried out, even in principle, if C has not been pinned down independently of the R it is meant to produce' -- is the exact quote already registered in this project's canonical registry as DTC-CIRCULARITY-OBSTRUCTION (CONDITIONAL status), independently re-confirmed verbatim this campaign.","not applicable (an acknowledged open problem, not a tested claim)",NO
DTC-RP4-1,DTC-RP-004_Forced_vs_Free.docx,B-rigorous (self-falsification test),Quantum/Gravity,2-4,Tr(Y^4)/Tr(Y^2)^2 forcing-test,"Tr(Y^4)/Tr(Y^2)^2 = (m_t^4+m_b^4+m_tau^4)/(m_t^2+m_b^2+m_tau^2)^2, evaluated = 0.9986 (measured masses) / 1 (top-dominance limit); tested against the grammar's own candidate coefficient gamma in dPhi/dt=alphaJ-betaPhi-gammaPhi^3+D Phi nabla^2 Phi","Yukawa trace ratio, fermion masses m_t/m_b/m_tau, grammar coefficient gamma","standard relation y^f=sqrt(2)m^f/v between Yukawa couplings and fermion masses (real, established)","external: Chamseddine-Connes-Marcolli 2007/2012 spectral Standard Model (real, published physics)","tests whether the author's own (D,T,C)-grammar coefficient gamma is 'forced' (determined by the same spectral data that fixes the real Higgs quartic coupling lambda_H) or merely decorative/free","NEGATIVE RESULT, HONESTLY REPORTED BY THE DOCUMENT'S OWN AUTHOR","none (self-test of a prior document in this same corpus, 'Executive Summary')","the historical Chamseddine-Connes-Marcolli 2007 Higgs-mass prediction (~170 GeV), its 2012 falsification by the 125 GeV LHC discovery, and the same-year published correction (JHEP 2012, 'Resilience of the Spectral Standard Model') are real, verifiable physics history, correctly and accurately stated","the Tr(Y^4)/Tr(Y^2)^2 computation is executable (document states it was run in SymPy; not independently re-executed by this campaign, but the arithmetic is standard and plausible)","This campaign independently confirms the historical claim (Chamseddine-Connes-Marcolli's 2007 prediction and 2012 correction are real, documented physics history) and confirms the logical structure of the test is sound: a forced parameter changes the prediction when the input data changes; a free parameter does not. The document's own conclusion -- that the grammar's gamma is NOT forced, because the paper's own headline cube-root scaling prediction Phi*~J^(1/3) is independent of gamma's value -- is a correctly reasoned, self-critical negative finding.","the tested correspondence (grammar coefficient gamma <-> NCG Higgs quartic term) is FALSIFIED by the document's own test, honestly reported as such","NO (this is itself a negative result -- nothing to promote, and the document correctly does not claim otherwise)"
DTC-C-5.1,DTC COMPILER.docx,"B (grandiose-synthesis, contains a falsified numerical claim)",Constants,5.1,alpha = Vol(S^1)/Vol(CP^2),"alpha = 2 pi / (pi^2/2) = 4/pi [then, asserted without derivation:] alpha^-1 ~ 137.035999","fine-structure constant alpha, S^1 and CP^2 topological volumes",an unstated 'localized normalization scale of the running coupling constant at low energy bounds' bridges 4/pi to 137.035999,none shown,"the fine-structure constant is an exact geometric ratio, eliminating this as a free parameter of physics",ARITHMETICALLY FALSE AS WRITTEN,none,the true CODATA value alpha^-1 = 137.035999... is real and correctly quoted; the geometric volumes Vol(S^1)=2pi and Vol(CP^2)=pi^2/2 are correct standard results,the stated formula is directly checkable: 4/pi ~= 1.2732,"Directly recomputed this campaign: 2*pi/(pi^2/2) = 4/pi ~ 1.2732, NOT 137.035999 and not its reciprocal (pi/4 ~ 0.7854) either. No algebraic step is shown connecting the computed geometric ratio (4/pi) to the asserted 'exact measured inverse value' (137.035999) -- the two numbers are simply stated adjacent to each other with a vague appeal to 'normalization,' with no formula. This is the same 'state the desired known answer next to an unconnected calculation and call it derived' pattern already identified and rejected in the unrelated Hashimoto 'Theory of Everything' document during the prior L0 literature-ingestion phase of this project.",FALSIFIED as a derivation -- the claimed equality does not follow from the shown mathematics,"NO, and flagged as a corpus reliability warning for this document"
