review_id,equation_id,issue,source_location,machine_proposal,unresolved_question,status
REVPDF-7684c3bb450c6f52,,PDF_TEXT_CANDIDATE_NOT_STRUCTURED,SRC-ARXIV-5ced2c5a7cfb:page 6,F =,"pypdf text extraction found a math-symbol-dense line; no reliable LaTeX/MathML recovery is possible from rendered PDF text alone, so this is NOT promoted to an equation record -- human review or a higher-quality source representation is required before this can be extracted as a structured equation (brief section VII).",UNRESOLVED
REVPDF-033c527edb0ecb8e,,PDF_TEXT_CANDIDATE_NOT_STRUCTURED,SRC-ARXIV-5ced2c5a7cfb:page 6,( dL(θ|y),"pypdf text extraction found a math-symbol-dense line; no reliable LaTeX/MathML recovery is possible from rendered PDF text alone, so this is NOT promoted to an equation record -- human review or a higher-quality source representation is required before this can be extracted as a structured equation (brief section VII).",UNRESOLVED
REVPDF-505e6d6d39d9d663,,PDF_TEXT_CANDIDATE_NOT_STRUCTURED,SRC-ARXIV-5ced2c5a7cfb:page 6,p(y|θ)dy. (1),"pypdf text extraction found a math-symbol-dense line; no reliable LaTeX/MathML recovery is possible from rendered PDF text alone, so this is NOT promoted to an equation record -- human review or a higher-quality source representation is required before this can be extracted as a structured equation (brief section VII).",UNRESOLVED
REVPDF-bc93060b341c8fef,,PDF_TEXT_CANDIDATE_NOT_STRUCTURED,SRC-ARXIV-5ced2c5a7cfb:page 6,F = −,"pypdf text extraction found a math-symbol-dense line; no reliable LaTeX/MathML recovery is possible from rendered PDF text alone, so this is NOT promoted to an equation record -- human review or a higher-quality source representation is required before this can be extracted as a structured equation (brief section VII).",UNRESOLVED
REVPDF-9783a702da070c98,,PDF_TEXT_CANDIDATE_NOT_STRUCTURED,SRC-ARXIV-5ced2c5a7cfb:page 6,( d2L(θ|y),"pypdf text extraction found a math-symbol-dense line; no reliable LaTeX/MathML recovery is possible from rendered PDF text alone, so this is NOT promoted to an equation record -- human review or a higher-quality source representation is required before this can be extracted as a structured equation (brief section VII).",UNRESOLVED
REVPDF-4ceca7ad25982a0f,,PDF_TEXT_CANDIDATE_NOT_STRUCTURED,SRC-ARXIV-5ced2c5a7cfb:page 6,dθ2,"pypdf text extraction found a math-symbol-dense line; no reliable LaTeX/MathML recovery is possible from rendered PDF text alone, so this is NOT promoted to an equation record -- human review or a higher-quality source representation is required before this can be extracted as a structured equation (brief section VII).",UNRESOLVED
REVPDF-a1f5d6c9faccffee,,PDF_TEXT_CANDIDATE_NOT_STRUCTURED,SRC-ARXIV-5ced2c5a7cfb:page 6,"p(y|θ)dy, (2)","pypdf text extraction found a math-symbol-dense line; no reliable LaTeX/MathML recovery is possible from rendered PDF text alone, so this is NOT promoted to an equation record -- human review or a higher-quality source representation is required before this can be extracted as a structured equation (brief section VII).",UNRESOLVED
REVPDF-e4114e5b9579244f,,PDF_TEXT_CANDIDATE_NOT_STRUCTURED,SRC-ARXIV-5ced2c5a7cfb:page 6,y = p(y|θ + dθ). Let us,"pypdf text extraction found a math-symbol-dense line; no reliable LaTeX/MathML recovery is possible from rendered PDF text alone, so this is NOT promoted to an equation record -- human review or a higher-quality source representation is required before this can be extracted as a structured equation (brief section VII).",UNRESOLVED
REVPDF-7684c3bb450c6f52,,PDF_TEXT_CANDIDATE_NOT_STRUCTURED,SRC-ARXIV-5ced2c5a7cfb:page 6,F =,"pypdf text extraction found a math-symbol-dense line; no reliable LaTeX/MathML recovery is possible from rendered PDF text alone, so this is NOT promoted to an equation record -- human review or a higher-quality source representation is required before this can be extracted as a structured equation (brief section VII).",UNRESOLVED
REVPDF-7c192087f4fa813b,,PDF_TEXT_CANDIDATE_NOT_STRUCTURED,SRC-ARXIV-5ced2c5a7cfb:page 6,v′ = {√ py log(p′,"pypdf text extraction found a math-symbol-dense line; no reliable LaTeX/MathML recovery is possible from rendered PDF text alone, so this is NOT promoted to an equation record -- human review or a higher-quality source representation is required before this can be extracted as a structured equation (brief section VII).",UNRESOLVED
