BRANCH_ID,BRANCH_NAME,CURRENT_CANONICAL_STATUS,EXECUTABLE_BACKEND_PRESENT,EXECUTABLE_NODE_COUNT,MISSING_NODE_COUNT,MISSING_IMPLEMENTATION_TYPE,UPSTREAM_DEPENDENCIES,DOWNSTREAM_DEPENDENCIES,LITERATURE_SUPPORT_AVAILABLE,RECOVERY_PRIORITY,RECOVERY_STATUS
Primitive,Primitive / Selection chain,OPEN,NO,0,21,non-arbitrary Sigma selection functional; entire FOUNDATION..OBSERVABLES-NODE template chain,none (root),every template-chain branch (Test1/Test2/DESI branches explicitly do NOT descend from this chain),NO,OUT OF SCOPE,"NOT PURSUED -- would require inventing new physics/ontology, explicitly prohibited"
Variational,"Variational structure (S[phi], delta S=0)",OPEN,NO,0,1,action functional construction; variational-derivative operator,"SPECTRUM-NODE (OPEN, blocked on Primitive chain)","Euler-Lagrange, Symmetry, Conservation, Quantum, Gauge, Matter, Thermodynamic, Cosmology, Observables",PARTIAL,1 (highest downstream impact),RECOVERY-CANDIDATE-AVAILABLE -- standard classical field theory variational principle is established external mathematics; connecting it to SPECTRUM-NODE is not addressed by the supplied corpus
Euler-Lagrange,Euler-Lagrange equations,OPEN,NO,0,1,not separately registered; subsumed under VARIATIONAL-NODE,VARIATIONAL-NODE (OPEN),none registered separately,"PARTIAL (standard textbook result, assumed not derived in delivered pages)",tied to Variational,BLOCKED-ON-UPSTREAM
Symmetry,Noether symmetry -> conserved current,NOT REGISTERED,NO,0,1,no NOETHER-SYMMETRY IR node registered at all,VARIATIONAL-NODE (OPEN),Conservation,PARTIAL/ANALOGOUS -- Tong Ch.1 rigorously covers Lorentz/Poincare continuous-symmetry group structure; Noether's theorem itself (symmetry -> current) is standard but was not observed in the delivered pages (through section 1.4.4 CPT only),3,RECOVERY-CANDIDATE-AVAILABLE (needs VARIATIONAL-NODE closed first)
Conservation,d_mu J^mu = 0,NOT REGISTERED,NO,0,1,no CONSERVATION-LAW IR node registered at all,NOETHER-SYMMETRY (not registered),none registered,"PARTIAL (standard consequence, not directly shown in delivered pages)",5,BLOCKED-ON-UPSTREAM
Geometry,g_munu -> Riemann -> Ricci -> R,OPEN,NO,0,1,"metric, connection, Riemann/Ricci/scalar curvature computation",SPECTRUM-NODE (OPEN),"GR, Quantum/Gravity Interface",NO -- none of the 3 supplied documents cover differential geometry / GR machinery,2,NO-LITERATURE-SUPPORT-IN-THIS-CORPUS
GR,Einstein field equations,OPEN,NO,0,1,not separately registered as an IR node; only SEMICLASSICAL-EINSTEIN-EQUATION exists (PROPOSED),"GEOMETRY-NODE (OPEN), MATTER-NODE (OPEN)",Quantum/Gravity Interface,NO,7,BLOCKED-ON-UPSTREAM / NO-LITERATURE-SUPPORT
Statistical,Fisher-Rao statistical recovery core,VERIFIED (1 step only),PARTIAL,1,9,"broader SRC chain: mu, P, X, E[X], Var(X), H(P), Z, P(x,t), spectral decomposition",none for the closed step,none currently registered,NO -- none of the 3 documents address information geometry / the Fisher-Rao SRC chain,LOW (1 step already closed; remainder out of campaign scope),"PARTIAL-CLOSURE-ACHIEVED, remainder NOT PURSUED"
Quantum,Quantum recovery core,VERIFIED (1 guardrail step only),PARTIAL,1,"unspecified (QUANTUM-NODE full chain: Hilbert space, observables, quantization map)",Hilbert-space construction; quantization map from SPECTRUM-NODE,VARIATIONAL-NODE (OPEN),"Gauge, Matter, Thermodynamic, Cosmology, Observables","ANALOGOUS -- Tong Ch.1 gives Weyl/Dirac spinor representations relevant to relativistic-QM structure, but does not supply a quantization map",4,RECOVERY-CANDIDATE-PARTIAL (blocked on Variational closing first)
Thermodynamic,Thermodynamic recovery core,OPEN,NO,0,1,"internal energy, Clausius-Duhem, entropy current, heat flux computation",MATTER-NODE (OPEN),"Cosmology, Observables",NO -- none of the 3 documents address thermodynamics,9,NO-LITERATURE-SUPPORT
Spectral,Graph Laplacian / heat-kernel pipeline,VERIFIED (fully closed for its scope),YES,15,0,none,n/a (closed),none pursued further,n/a (already complete),N/A,COMPLETE
DESI,DESI Gate 1 pipeline,FAIL / RETRIABLE (frozen),"YES (partial, frozen)",3,"n/a -- frozen, not a recovery target this phase",n/a,none (DESI-CATALOGUE is a directly acquired root),"Continuum, Curvature, Physical-Validation (all blocked)",NO -- none of the 3 documents address graph-Laplacian continuum limits,FROZEN,FROZEN-DO-NOT-PURSUE per explicit execution override
Continuum,Discrete -> continuum limit,FAIL / RETRIABLE (frozen),"YES (partial, frozen)",0,n/a -- frozen,n/a,OPERATOR-L-DESI (CALCULATED),"Curvature, Physical-Validation",NO,FROZEN,FROZEN-DO-NOT-PURSUE per explicit execution override
Curvature,Curvature closure (heat-kernel coefficients -> kappa),"OPEN (code exists, never executed on real data)",PRESENT-BUT-UNEXECUTED,0,"n/a -- execution itself is the gap, blocked on Continuum FAIL","n/a (Gate 2 never entered, by instruction)",MATHEMATICAL-CONVERGENCE-DESI (FAIL),Physical-Validation,NO,BLOCKED,BLOCKED-ON-UPSTREAM (Gate 1)
Quantum/Gravity,Quantum-Gravity interface,OPEN,NO,0,1,admissible bridge equation between Quantum and GR chains,"QUANTUM-NODE (OPEN), GEOMETRY-NODE (OPEN), T2-NCG-BRIDGE (OPEN)",none,NO -- none of the 3 documents bridge QM/GR,10,BLOCKED-ON-UPSTREAM (x2)
