chain_position,canonical_object,source_id,source_equation_id,source_structure_id,relationship,evidence,status,provenance
1,Delta (selection functional),UOC-COMPILER,,SELECTION-SIGMA,IMPLEMENTED_AS_COMPILER_NODE,status_matrix.json: SELECTION-SIGMA status=OPEN,COMPILER_ONLY,
1,Delta (selection functional),ARXIV_DISCOVERY_CORPUS,,,TITLE_ABSTRACT_KEYWORD_MATCH_COUNT,0 of 135 discovered sources' title/abstract mention a related keyword,UNRESOLVED,"title/abstract only -- full text was NOT extracted for these sources this phase, so this is weak topical evidence, not equation-level support"
2,Gamma (distinction/transformation/constraint composition),UOC-COMPILER,,,NOT_IMPLEMENTED,no matching id in status_matrix.json,OPEN,no direct compiler IR node; PROTOCOL-GRAPH-SPECTRAL-DERIVATION (protocol_registry.json) implements the G->L->Spec(L) segment without an explicit Gamma-labeled object
2,Gamma (distinction/transformation/constraint composition),ARXIV_DISCOVERY_CORPUS,,,TITLE_ABSTRACT_KEYWORD_MATCH_COUNT,0 of 135 discovered sources' title/abstract mention a related keyword,UNRESOLVED,"title/abstract only -- full text was NOT extracted for these sources this phase, so this is weak topical evidence, not equation-level support"
3,G (graph),UOC-COMPILER,,GRAPH-G-SEED,IMPLEMENTED_AS_COMPILER_NODE,status_matrix.json: GRAPH-G-SEED status=PROPOSED,COMPILER_ONLY,
3,G (graph),ARXIV_DISCOVERY_CORPUS,,,TITLE_ABSTRACT_KEYWORD_MATCH_COUNT,0 of 135 discovered sources' title/abstract mention a related keyword,UNRESOLVED,"title/abstract only -- full text was NOT extracted for these sources this phase, so this is weak topical evidence, not equation-level support"
4,L (graph Laplacian operator),UOC-COMPILER,,OPERATOR-L,IMPLEMENTED_AS_COMPILER_NODE,status_matrix.json: OPERATOR-L status=CALCULATED,COMPILER_ONLY,
4,L (graph Laplacian operator),ARXIV_DISCOVERY_CORPUS,,,TITLE_ABSTRACT_KEYWORD_MATCH_COUNT,0 of 135 discovered sources' title/abstract mention a related keyword,UNRESOLVED,"title/abstract only -- full text was NOT extracted for these sources this phase, so this is weak topical evidence, not equation-level support"
5,Spec(L) (spectrum),UOC-COMPILER,,SPECTRUM-L,IMPLEMENTED_AS_COMPILER_NODE,status_matrix.json: SPECTRUM-L status=VERIFIED,COMPILER_ONLY,
5,Spec(L) (spectrum),ARXIV_DISCOVERY_CORPUS,,,TITLE_ABSTRACT_KEYWORD_MATCH_COUNT,0 of 135 discovered sources' title/abstract mention a related keyword,UNRESOLVED,"title/abstract only -- full text was NOT extracted for these sources this phase, so this is weak topical evidence, not equation-level support"
6,g_{mu nu} (metric),UOC-COMPILER,,METRIC-CANDIDATE,IMPLEMENTED_AS_COMPILER_NODE,status_matrix.json: METRIC-CANDIDATE status=CONDITIONAL,COMPILER_ONLY,"compiler's own METRIC-CANDIDATE is a diffusion-distance metric CANDIDATE (never exact, always non_unique per Test 2) -- not asserted to be a Lorentzian spacetime metric"
6,g_{mu nu} (metric),LIT-TONG-ST,ST-004,,KEYWORD_MATCH_LITERAL_TEXT,"einbein form of the point-particle action, e(tau) as worldline metric/vierbein ((1.8),(1.9),(1.10))",SOURCE_SUPPORT,keyword match against literal source text only -- not a claim that this is the SAME object as the compiler's chain position (see module docstring on worldsheet vs. spacetime metric etc.)
6,g_{mu nu} (metric),LIT-TONG-ST,ST-005,,KEYWORD_MATCH_LITERAL_TEXT,Nambu-Goto action: worldsheet induced metric gamma_{alpha beta} (pullback of flat spacetime metric) and the action proportional to worldsheet area ((1.11)-(1.14)),SOURCE_SUPPORT,keyword match against literal source text only -- not a claim that this is the SAME object as the compiler's chain position (see module docstring on worldsheet vs. spacetime metric etc.)
6,g_{mu nu} (metric),LIT-TONG-ST,ST-008,,KEYWORD_MATCH_LITERAL_TEXT,Polyakov action: introduces an independent dynamical worldsheet metric g_{alpha beta} to eliminate the Nambu-Goto square root ((1.22)),SOURCE_SUPPORT,keyword match against literal source text only -- not a claim that this is the SAME object as the compiler's chain position (see module docstring on worldsheet vs. spacetime metric etc.)
6,g_{mu nu} (metric),LIT-TONG-ST,ST-009,,KEYWORD_MATCH_LITERAL_TEXT,"worldsheet metric's own equation of motion (stress tensor T_{alpha beta}=0 solved for g) ((1.24),(1.25))",SOURCE_SUPPORT,keyword match against literal source text only -- not a claim that this is the SAME object as the compiler's chain position (see module docstring on worldsheet vs. spacetime metric etc.)
6,g_{mu nu} (metric),LIT-TONG-ST,ST-010,,KEYWORD_MATCH_LITERAL_TEXT,"the three symmetries of the Polyakov action: Poincare invariance (global spacetime symmetry), reparametrization invariance (worldsheet diffeomorphism, gauge), Weyl invariance (local worldsheet rescaling, gauge) ((1.6),(1.26)-(1.29))",SOURCE_SUPPORT,keyword match against literal source text only -- not a claim that this is the SAME object as the compiler's chain position (see module docstring on worldsheet vs. spacetime metric etc.)
6,g_{mu nu} (metric),LIT-TONG-ST,ST-011,,KEYWORD_MATCH_LITERAL_TEXT,"conformal gauge fixing (using reparametrization to reach locally-conformally-flat form, then Weyl to remove the remaining conformal factor entirely); the 2D Weyl transformation law for the Ricci scalar ((1.27),(1.28),(1.29))",SOURCE_SUPPORT,keyword match against literal source text only -- not a claim that this is the SAME object as the compiler's chain position (see module docstring on worldsheet vs. spacetime metric etc.)
6,g_{mu nu} (metric),LIT-TONG-ST,ST-012,,KEYWORD_MATCH_LITERAL_TEXT,"residual equations of motion for the metric after gauge-fixing (Virasoro constraints), plus the free-field wave equation for X ((1.4.1))",SOURCE_SUPPORT,keyword match against literal source text only -- not a claim that this is the SAME object as the compiler's chain position (see module docstring on worldsheet vs. spacetime metric etc.)
