BRANCH,STATUS,CHANGED_THIS_CAMPAIGN,REASON
Primitive/Selection,OPEN,NO,SELECTION-SIGMA remains explicitly unconstructible per compiler/ir/forward_chain.py; corpus mining found no non-circular resolution (DTC-FS-3/Option-B hits the identical obstruction from the philosophy side)
Variational,OPEN,NO,"String-theory literature (prior L0-ST phase) remains the only genuine external implementation template found anywhere across two campaigns; this campaign's corpus mining (geometric unification paper.docx, Master Equation Codex) found no independently-derivable UOC-specific action"
Symmetry,"OPEN, with one genuine external-math theorem now on record",YES (comparison-only),"DTC_Formal_Structure.docx's Constraint Necessity Theorem is a real, checkable category-theory result (DTC-FS-1); it does not by itself close NOETHER-SYMMETRY, which still requires a UOC Lagrangian per the string-theory recovery template (RECOVERY-STR-002)"
Conservation,OPEN,NO,"Generalized Noether Conjecture explicitly NOT proved by its own author (DTC-FS-2); only the ordinary, already-established conservative-Lagrangian case is recovered, which is not new content"
Geometry,OPEN,NO (one claim tested and rejected),"Master Equation Codex section 3's metric construction (eq 3.2) is mathematically ill-posed as written (differentiates w.r.t. an undefined embedding coordinate) -- consistent with, not a resolution of, this project's own METRIC-CANDIDATE non-uniqueness finding"
GR,OPEN,NO,"No document in the corpus derives the Einstein field equations from a more primitive structure; Master Equation Codex section 4 and Functorial Gauge Unification both simply restate the known field equations, not derive them"
Statistical,"VERIFIED (partial, 1 step) -- unchanged",NO,already closed for its scope prior to this campaign
Quantum,"VERIFIED (partial, 1 guardrail step) -- unchanged",NO,"Master Equation Codex's claim that the Schrodinger equation is the continuum limit of the graph eigenproblem (MEC-6) is CONTRADICTED by this project's own FC-005 execution, which found only partial (4 of 15 modes) convergence even in the best case"
Thermodynamic,OPEN,NO,"Master Equation Codex section 7's R=e^{-beta L} <-> Boltzmann-weight correspondence is an explicitly-hedged analogy ('mirrors'), not a derivation"
Spectral,VERIFIED (fully closed for its scope) -- unchanged,NO,already closed prior to this campaign; corpus mining confirms this is the ONE branch where the historical corpus's own proposed cascade (Master Equation Codex sections 0-1) matches what was independently built and executed in this project's own code
DESI/Continuum,FAIL/RETRIABLE (frozen) -- unchanged,NO,not rerun this campaign per standing instruction; frozen exactly as FC005_CHECKPOINT.md records
Curvature,OPEN (Gate 2 never entered) -- unchanged,NO,blocked on Continuum
Quantum/Gravity Interface,OPEN,NO (multiple claims tested and rejected),DTC-RP-004's own honest self-test found the corpus's proposed NCG-spectral-action correspondence (gamma <-> Higgs quartic) is NOT forced by the underlying data; Functorial Gauge Unification's ER=EPR/AdS-CFT/LQG/string 'unification' asserts isomorphism without constructing it. This campaign's own independent assessment concurs with this project's prior assessment (MASTER_PHYSICS_VALIDATION_MATRIX.csv row 16) that this interface is closer to a genuine open research problem than an implementation gap.
Gauge/Standard Model,"OPEN (SU(3)xSU(2)xU(1) preserved as EXTERNAL established physics, not as a project-derived result)",NO,"Two corpus claims to have derived this group (Master Equation Codex 5.3 = T2-HISTORICAL bare assertion; SEIT v2 section V anomaly-cancellation argument) were assessed: the first has zero backing (already known before this campaign), the second is more substantive in form but was not independently verified to derive its own candidate-group list from primitives rather than curating it. Per this campaign's explicit governing instruction, the real, established SU(3)xSU(2)xU(1) gauge group is preserved as a recovered/established EXTERNAL physics fact and not reopened as a target -- but no document in this corpus is credited with having derived it from this project's own primitives."
Matter,OPEN,NO,no particle-spectrum derivation located anywhere in the corpus that survives scrutiny (see MASTER_TOE_PARTICLES.csv)
Constants,OPEN (fine-structure constant and electron mass: two specific derivation CLAIMS actively FALSIFIED this campaign),YES,"DTC COMPILER.docx sections 5.1/5.2 claimed exact first-principles derivations of alpha and m_e; both are directly falsified by this campaign's own recomputation (alpha: non-sequitur, computed ratio 4/pi does not connect to the asserted 137.035999; m_e: numerically consistent with simple reverse-computation from the already-measured answer, no independent operator construction shown)"
Early-universe/Cosmology,OPEN,"NO (one genuine prediction set flagged, untested)","SEIT v2 section VI's axion-mass/GW-frequency/soliton-core-radius prediction triplet is structurally the most legitimate falsifiable claim found in the corpus (real formula form, internally consistent arithmetic, not reverse-fit to an already-known answer) but was not checked against current observational data this campaign, and its N_sub<-n_s input step was not independently verified"
Late-universe/Cosmology,OPEN (as derivation); CALCULATED (as pipeline input only) -- unchanged,NO,unchanged from prior campaign
