BRANCH,STATUS,CHANGED_THIS_CAMPAIGN,REASON
Primitive/Selection,OPEN,YES,"H1 (this campaign): direct code inspection of compiler/ir/forward_chain.py and compiler/backends/*.py confirms 'Mathset', the persistence functional Pi(G), and the structural-cost functional S(G) have ZERO formal definition anywhere in this repository. G*=argmax_G Pi(G)/S(G) is therefore not merely unproven but genuinely undefined at the level of domain/objective-function specification -- the obstruction is definitional, not a missing proof step. See CALC-H1-SELECTION-WELLPOSEDNESS."
Variational,OPEN,NO,"String-theory literature (prior L0-ST phase) remains the only genuine external implementation template found anywhere across two campaigns; this campaign's corpus mining (geometric unification paper.docx, Master Equation Codex) found no independently-derivable UOC-specific action"
Symmetry,"OPEN, with one genuine external-math theorem now on record",YES (comparison-only),"DTC_Formal_Structure.docx's Constraint Necessity Theorem is a real, checkable category-theory result (DTC-FS-1); it does not by itself close NOETHER-SYMMETRY, which still requires a UOC Lagrangian per the string-theory recovery template (RECOVERY-STR-002)"
Conservation,OPEN,NO,"Generalized Noether Conjecture explicitly NOT proved by its own author (DTC-FS-2); only the ordinary, already-established conservative-Lagrangian case is recovered, which is not new content"
Geometry,OPEN,NO (one claim tested and rejected),"Master Equation Codex section 3's metric construction (eq 3.2) is mathematically ill-posed as written (differentiates w.r.t. an undefined embedding coordinate) -- consistent with, not a resolution of, this project's own METRIC-CANDIDATE non-uniqueness finding"
GR,OPEN,NO,"No document in the corpus derives the Einstein field equations from a more primitive structure; Master Equation Codex section 4 and Functorial Gauge Unification both simply restate the known field equations, not derive them"
Statistical,"VERIFIED (partial, 1 step) -- unchanged",NO,already closed for its scope prior to this campaign
Quantum,"VERIFIED (partial, 1 guardrail step) -- unchanged",NO,"Master Equation Codex's claim that the Schrodinger equation is the continuum limit of the graph eigenproblem (MEC-6) is CONTRADICTED by this project's own FC-005 execution, which found only partial (4 of 15 modes) convergence even in the best case"
Thermodynamic,OPEN,NO,"Master Equation Codex section 7's R=e^{-beta L} <-> Boltzmann-weight correspondence is an explicitly-hedged analogy ('mirrors'), not a derivation"
Spectral,VERIFIED (fully closed for its scope) -- unchanged,NO,already closed prior to this campaign; corpus mining confirms this is the ONE branch where the historical corpus's own proposed cascade (Master Equation Codex sections 0-1) matches what was independently built and executed in this project's own code
DESI/Continuum,FAIL/RETRIABLE (frozen) -- unchanged,NO,not rerun this campaign per standing instruction; frozen exactly as FC005_CHECKPOINT.md records
Curvature,OPEN (Gate 2 never entered) -- unchanged,"YES (new negative evidence, frozen checkpoint extended not overwritten)","H3 (this campaign): real new numerical experiments against the real DESI DR1 LRG SGC catalogue (N=4000->8000) rule out solver precision as the cause of higher-mode non-convergence (tighter ARPACK tolerance produces the same subspace_cosine=0.9877 instability), show a data-independent bandwidth increase (epsilon x2) stabilizes low modes [1,3] but NOT high modes [5,15] (which remain badly unstable, subspace_cosine=0.0195 near-orthogonal), and analytically rule out the counterfactual manuscript's proposed curvature-dependent kernel correction as CIRCULAR (it requires the target-space Ricci scalar R(x) as an input to the very kernel meant to derive R(x)). FC005_CHECKPOINT.md's frozen state is extended, not overwritten. See CALC-H3-FC005-CORRECTION-TEST."
Quantum/Gravity Interface,OPEN,YES (new negative evidence),"H2 (this campaign): genuine numerical test shows D+=sqrt(L) is structurally NON-LOCAL (dense off-diagonal decay, D+_sparsity_strict=1.0 meaning zero exact zeros off-diagonal) even when L itself is sparse/local -- a concrete, quantitative objection to D+ serving as a genuine Dirac-type operator, prior to and independent of the deeper axiom-by-axiom spectral-triple certification (self-adjointness/compact-resolvent trivially hold in finite dimension and are non-discriminating; KO-dimension analysis gives 0 mod 8 under the natural real structure, not the required 6 mod 8). See CALC-H2-SPECTRAL-TRIPLE-LOCALITY."
Gauge/Standard Model,"OPEN (SU(3)xSU(2)xU(1) preserved as EXTERNAL established physics, not as a project-derived result)",YES,"H4 (this campaign): a rigorous rank-counting proof on compact Lie groups shows the counterfactual manuscript's specific 'G2 intersect(triality) Spin(8) = SU(3)xSU(2)xU(1)' claim is MATHEMATICALLY IMPOSSIBLE, not merely unproven -- rank(SU(3)xSU(2)xU(1))=4 exceeds rank(G2)=2, and the triality-fixed subgroup of Spin(8) is G2 itself (standard fact), so no subgroup-of-G2 construction can ever equal the Standard Model gauge group. This is now FALSIFIED as EQ-H4-G2-TRIALITY-INTERSECTION-CLAIM / FALS-H4-G2-TRIALITY-RANK-OBSTRUCTION. The repository's own, DIFFERENT, original direct-product formulation (Aut(octonions) x Spin(8) superset SU(3)xSU(2)xU(1), rank 6 >= 4, not ruled out by this argument) remains open as H4-DIRECT-PRODUCT-CLAIM-UNCONSTRUCTED: still completely unconstructed (no embedding, decomposition, or uniqueness argument exists anywhere in this repository), but not disproved. SU(3)xSU(2)xU(1) itself remains preserved as established EXTERNAL physics throughout, per governing instruction."
Matter,OPEN,NO,no particle-spectrum derivation located anywhere in the corpus that survives scrutiny (see MASTER_TOE_PARTICLES.csv)
Constants,OPEN (fine-structure constant and electron mass: two specific derivation CLAIMS actively FALSIFIED this campaign),YES,"DTC COMPILER.docx sections 5.1/5.2 claimed exact first-principles derivations of alpha and m_e; both are directly falsified by this campaign's own recomputation (alpha: non-sequitur, computed ratio 4/pi does not connect to the asserted 137.035999; m_e: numerically consistent with simple reverse-computation from the already-measured answer, no independent operator construction shown)"
Early-universe/Cosmology,OPEN,"NO (one genuine prediction set flagged, untested)","SEIT v2 section VI's axion-mass/GW-frequency/soliton-core-radius prediction triplet is structurally the most legitimate falsifiable claim found in the corpus (real formula form, internally consistent arithmetic, not reverse-fit to an already-known answer) but was not checked against current observational data this campaign, and its N_sub<-n_s input step was not independently verified"
Late-universe/Cosmology,OPEN (as derivation); CALCULATED (as pipeline input only) -- unchanged,NO,unchanged from prior campaign
H1-Selection-Wellposedness (new node),OPEN,NEW,"H1 (this campaign): direct code inspection of compiler/ir/forward_chain.py and compiler/backends/*.py confirms 'Mathset', the persistence functional Pi(G), and the structural-cost functional S(G) have ZERO formal definition anywhere in this repository. G*=argmax_G Pi(G)/S(G) is therefore not merely unproven but genuinely undefined at the level of domain/objective-function specification -- the obstruction is definitional, not a missing proof step. See CALC-H1-SELECTION-WELLPOSEDNESS."
H2-Spectral-Triple-Locality (new node),FAIL,NEW,"H2 (this campaign): genuine numerical test shows D+=sqrt(L) is structurally NON-LOCAL (dense off-diagonal decay, D+_sparsity_strict=1.0 meaning zero exact zeros off-diagonal) even when L itself is sparse/local -- a concrete, quantitative objection to D+ serving as a genuine Dirac-type operator, prior to and independent of the deeper axiom-by-axiom spectral-triple certification (self-adjointness/compact-resolvent trivially hold in finite dimension and are non-discriminating; KO-dimension analysis gives 0 mod 8 under the natural real structure, not the required 6 mod 8). See CALC-H2-SPECTRAL-TRIPLE-LOCALITY."
